TOTAL_CASH_CHANGE_1dt_day_1,TOTAL_CASH_CHANGE_1dt_day_2,TOTAL_CASH_CHANGE_1dt_day_3,TOTAL_CASH_CHANGE_1dt_day_4,TOTAL_CASH_CHANGE_1dt_day_5,TOTAL_CASH_CHANGE_1dt_day_6,TOTAL_CASH_CHANGE_1dt_day_7,TOTAL_CASH_CHANGE_1dt_day_8,TOTAL_CASH_CHANGE_1dt_day_9,TOTAL_CASH_CHANGE_1dt_day_10,TOTAL_CASH_CHANGE_1dt_day_11,TOTAL_CASH_CHANGE_1dt_day_12,TOTAL_CASH_CHANGE_1dt_day_13,TOTAL_CASH_CHANGE_1dt_day_14,TOTAL_CASH_OUT_1dt_day_1,TOTAL_CASH_OUT_1dt_day_2,TOTAL_CASH_OUT_1dt_day_3,TOTAL_CASH_OUT_1dt_day_4,TOTAL_CASH_OUT_1dt_day_5,TOTAL_CASH_OUT_1dt_day_6,TOTAL_CASH_OUT_1dt_day_7,TOTAL_CASH_OUT_1dt_day_8,TOTAL_CASH_OUT_1dt_day_9,TOTAL_CASH_OUT_1dt_day_10,TOTAL_CASH_OUT_1dt_day_11,TOTAL_CASH_OUT_1dt_day_12,TOTAL_CASH_OUT_1dt_day_13,TOTAL_CASH_OUT_1dt_day_14
6.171553134918212891e-01,8.414291776716709137e-03,6.403601169586181641e-01,0.000000000000000000e+00,6.466264128684997559e-01,2.321583479642868042e-01,5.870957970619201660e-01,4.533116891980171204e-02,5.022684335708618164e-01,5.199328437447547913e-02,6.367856860160827637e-01,9.428060799837112427e-02,6.275765895843505859e-01,1.331611424684524536e-01,6.353765130043029785e-01,8.157468587160110474e-02,6.403601169586181641e-01,0.000000000000000000e+00,5.626332759857177734e-01,4.816520959138870239e-02,6.730782389640808105e-01,1.737390905618667603e-01,6.816068887710571289e-01,2.636333405971527100e-01,5.802232623100280762e-01,3.583684936165809631e-02,4.947579503059387207e-01,1.070152670145034790e-01
6.403601169586181641e-01,0.000000000000000000e+00,6.466264128684997559e-01,2.321583479642868042e-01,5.870957970619201660e-01,4.533116891980171204e-02,5.022684335708618164e-01,5.199328437447547913e-02,6.367856860160827637e-01,9.428060799837112427e-02,6.275765895843505859e-01,1.331611424684524536e-01,6.353765130043029785e-01,8.157468587160110474e-02,6.403601169586181641e-01,0.000000000000000000e+00,5.626332759857177734e-01,4.816520959138870239e-02,6.730782389640808105e-01,1.737390905618667603e-01,6.816068887710571289e-01,2.636333405971527100e-01,5.802232623100280762e-01,3.583684936165809631e-02,4.947579503059387207e-01,1.070152670145034790e-01,6.234303712844848633e-01,3.826247528195381165e-02
6.466264128684997559e-01,2.321583479642868042e-01,5.870957970619201660e-01,4.533116891980171204e-02,5.022684335708618164e-01,5.199328437447547913e-02,6.367856860160827637e-01,9.428060799837112427e-02,6.275765895843505859e-01,1.331611424684524536e-01,6.353765130043029785e-01,8.157468587160110474e-02,6.403601169586181641e-01,0.000000000000000000e+00,5.626332759857177734e-01,4.816520959138870239e-02,6.730782389640808105e-01,1.737390905618667603e-01,6.816068887710571289e-01,2.636333405971527100e-01,5.802232623100280762e-01,3.583684936165809631e-02,4.947579503059387207e-01,1.070152670145034790e-01,6.234303712844848633e-01,3.826247528195381165e-02,6.403601169586181641e-01,0.000000000000000000e+00
5.870957970619201660e-01,4.533116891980171204e-02,5.022684335708618164e-01,5.199328437447547913e-02,6.367856860160827637e-01,9.428060799837112427e-02,6.275765895843505859e-01,1.331611424684524536e-01,6.353765130043029785e-01,8.157468587160110474e-02,6.403601169586181641e-01,0.000000000000000000e+00,5.626332759857177734e-01,4.816520959138870239e-02,6.730782389640808105e-01,1.737390905618667603e-01,6.816068887710571289e-01,2.636333405971527100e-01,5.802232623100280762e-01,3.583684936165809631e-02,4.947579503059387207e-01,1.070152670145034790e-01,6.234303712844848633e-01,3.826247528195381165e-02,6.403601169586181641e-01,0.000000000000000000e+00,5.864251255989074707e-01,1.726900786161422729e-01
5.022684335708618164e-01,5.199328437447547913e-02,6.367856860160827637e-01,9.428060799837112427e-02,6.275765895843505859e-01,1.331611424684524536e-01,6.353765130043029785e-01,8.157468587160110474e-02,6.403601169586181641e-01,0.000000000000000000e+00,5.626332759857177734e-01,4.816520959138870239e-02,6.730782389640808105e-01,1.737390905618667603e-01,6.816068887710571289e-01,2.636333405971527100e-01,5.802232623100280762e-01,3.583684936165809631e-02,4.947579503059387207e-01,1.070152670145034790e-01,6.234303712844848633e-01,3.826247528195381165e-02,6.403601169586181641e-01,0.000000000000000000e+00,5.864251255989074707e-01,1.726900786161422729e-01,5.853123068809509277e-01,3.437238633632659912e-01
6.367856860160827637e-01,9.428060799837112427e-02,6.275765895843505859e-01,1.331611424684524536e-01,6.353765130043029785e-01,8.157468587160110474e-02,6.403601169586181641e-01,0.000000000000000000e+00,5.626332759857177734e-01,4.816520959138870239e-02,6.730782389640808105e-01,1.737390905618667603e-01,6.816068887710571289e-01,2.636333405971527100e-01,5.802232623100280762e-01,3.583684936165809631e-02,4.947579503059387207e-01,1.070152670145034790e-01,6.234303712844848633e-01,3.826247528195381165e-02,6.403601169586181641e-01,0.000000000000000000e+00,5.864251255989074707e-01,1.726900786161422729e-01,5.853123068809509277e-01,3.437238633632659912e-01,7.671013474464416504e-01,4.781070351600646973e-01
6.275765895843505859e-01,1.331611424684524536e-01,6.353765130043029785e-01,8.157468587160110474e-02,6.403601169586181641e-01,0.000000000000000000e+00,5.626332759857177734e-01,4.816520959138870239e-02,6.730782389640808105e-01,1.737390905618667603e-01,6.816068887710571289e-01,2.636333405971527100e-01,5.802232623100280762e-01,3.583684936165809631e-02,4.947579503059387207e-01,1.070152670145034790e-01,6.234303712844848633e-01,3.826247528195381165e-02,6.403601169586181641e-01,0.000000000000000000e+00,5.864251255989074707e-01,1.726900786161422729e-01,5.853123068809509277e-01,3.437238633632659912e-01,7.671013474464416504e-01,4.781070351600646973e-01,6.403601169586181641e-01,0.000000000000000000e+00
6.353765130043029785e-01,8.157468587160110474e-02,6.403601169586181641e-01,0.000000000000000000e+00,5.626332759857177734e-01,4.816520959138870239e-02,6.730782389640808105e-01,1.737390905618667603e-01,6.816068887710571289e-01,2.636333405971527100e-01,5.802232623100280762e-01,3.583684936165809631e-02,4.947579503059387207e-01,1.070152670145034790e-01,6.234303712844848633e-01,3.826247528195381165e-02,6.403601169586181641e-01,0.000000000000000000e+00,5.864251255989074707e-01,1.726900786161422729e-01,5.853123068809509277e-01,3.437238633632659912e-01,7.671013474464416504e-01,4.781070351600646973e-01,6.403601169586181641e-01,0.000000000000000000e+00,7.068094611167907715e-01,2.947796285152435303e-01
6.403601169586181641e-01,0.000000000000000000e+00,5.626332759857177734e-01,4.816520959138870239e-02,6.730782389640808105e-01,1.737390905618667603e-01,6.816068887710571289e-01,2.636333405971527100e-01,5.802232623100280762e-01,3.583684936165809631e-02,4.947579503059387207e-01,1.070152670145034790e-01,6.234303712844848633e-01,3.826247528195381165e-02,6.403601169586181641e-01,0.000000000000000000e+00,5.864251255989074707e-01,1.726900786161422729e-01,5.853123068809509277e-01,3.437238633632659912e-01,7.671013474464416504e-01,4.781070351600646973e-01,6.403601169586181641e-01,0.000000000000000000e+00,7.068094611167907715e-01,2.947796285152435303e-01,6.224794983863830566e-01,1.578257083892822266e-01
5.626332759857177734e-01,4.816520959138870239e-02,6.730782389640808105e-01,1.737390905618667603e-01,6.816068887710571289e-01,2.636333405971527100e-01,5.802232623100280762e-01,3.583684936165809631e-02,4.947579503059387207e-01,1.070152670145034790e-01,6.234303712844848633e-01,3.826247528195381165e-02,6.403601169586181641e-01,0.000000000000000000e+00,5.864251255989074707e-01,1.726900786161422729e-01,5.853123068809509277e-01,3.437238633632659912e-01,7.671013474464416504e-01,4.781070351600646973e-01,6.403601169586181641e-01,0.000000000000000000e+00,7.068094611167907715e-01,2.947796285152435303e-01,6.224794983863830566e-01,1.578257083892822266e-01,6.403601169586181641e-01,0.000000000000000000e+00
6.730782389640808105e-01,1.737390905618667603e-01,6.816068887710571289e-01,2.636333405971527100e-01,5.802232623100280762e-01,3.583684936165809631e-02,4.947579503059387207e-01,1.070152670145034790e-01,6.234303712844848633e-01,3.826247528195381165e-02,6.403601169586181641e-01,0.000000000000000000e+00,5.864251255989074707e-01,1.726900786161422729e-01,5.853123068809509277e-01,3.437238633632659912e-01,7.671013474464416504e-01,4.781070351600646973e-01,6.403601169586181641e-01,0.000000000000000000e+00,7.068094611167907715e-01,2.947796285152435303e-01,6.224794983863830566e-01,1.578257083892822266e-01,6.403601169586181641e-01,0.000000000000000000e+00,7.237292528152465820e-01,4.365752041339874268e-01
6.816068887710571289e-01,2.636333405971527100e-01,5.802232623100280762e-01,3.583684936165809631e-02,4.947579503059387207e-01,1.070152670145034790e-01,6.234303712844848633e-01,3.826247528195381165e-02,6.403601169586181641e-01,0.000000000000000000e+00,5.864251255989074707e-01,1.726900786161422729e-01,5.853123068809509277e-01,3.437238633632659912e-01,7.671013474464416504e-01,4.781070351600646973e-01,6.403601169586181641e-01,0.000000000000000000e+00,7.068094611167907715e-01,2.947796285152435303e-01,6.224794983863830566e-01,1.578257083892822266e-01,6.403601169586181641e-01,0.000000000000000000e+00,7.237292528152465820e-01,4.365752041339874268e-01,5.261025428771972656e-01,4.418233782052993774e-02
5.802232623100280762e-01,3.583684936165809631e-02,4.947579503059387207e-01,1.070152670145034790e-01,6.234303712844848633e-01,3.826247528195381165e-02,6.403601169586181641e-01,0.000000000000000000e+00,5.864251255989074707e-01,1.726900786161422729e-01,5.853123068809509277e-01,3.437238633632659912e-01,7.671013474464416504e-01,4.781070351600646973e-01,6.403601169586181641e-01,0.000000000000000000e+00,7.068094611167907715e-01,2.947796285152435303e-01,6.224794983863830566e-01,1.578257083892822266e-01,6.403601169586181641e-01,0.000000000000000000e+00,7.237292528152465820e-01,4.365752041339874268e-01,5.261025428771972656e-01,4.418233782052993774e-02,5.447559952735900879e-01,1.312758475542068481e-01
4.947579503059387207e-01,1.070152670145034790e-01,6.234303712844848633e-01,3.826247528195381165e-02,6.403601169586181641e-01,0.000000000000000000e+00,5.864251255989074707e-01,1.726900786161422729e-01,5.853123068809509277e-01,3.437238633632659912e-01,7.671013474464416504e-01,4.781070351600646973e-01,6.403601169586181641e-01,0.000000000000000000e+00,7.068094611167907715e-01,2.947796285152435303e-01,6.224794983863830566e-01,1.578257083892822266e-01,6.403601169586181641e-01,0.000000000000000000e+00,7.237292528152465820e-01,4.365752041339874268e-01,5.261025428771972656e-01,4.418233782052993774e-02,5.447559952735900879e-01,1.312758475542068481e-01,6.118597984313964844e-01,2.879285439848899841e-02
6.234303712844848633e-01,3.826247528195381165e-02,6.403601169586181641e-01,0.000000000000000000e+00,5.864251255989074707e-01,1.726900786161422729e-01,5.853123068809509277e-01,3.437238633632659912e-01,7.671013474464416504e-01,4.781070351600646973e-01,6.403601169586181641e-01,0.000000000000000000e+00,7.068094611167907715e-01,2.947796285152435303e-01,6.224794983863830566e-01,1.578257083892822266e-01,6.403601169586181641e-01,0.000000000000000000e+00,7.237292528152465820e-01,4.365752041339874268e-01,5.261025428771972656e-01,4.418233782052993774e-02,5.447559952735900879e-01,1.312758475542068481e-01,6.118597984313964844e-01,2.879285439848899841e-02,6.665453314781188965e-01,2.726029157638549805e-01
6.403601169586181641e-01,0.000000000000000000e+00,5.864251255989074707e-01,1.726900786161422729e-01,5.853123068809509277e-01,3.437238633632659912e-01,7.671013474464416504e-01,4.781070351600646973e-01,6.403601169586181641e-01,0.000000000000000000e+00,7.068094611167907715e-01,2.947796285152435303e-01,6.224794983863830566e-01,1.578257083892822266e-01,6.403601169586181641e-01,0.000000000000000000e+00,7.237292528152465820e-01,4.365752041339874268e-01,5.261025428771972656e-01,4.418233782052993774e-02,5.447559952735900879e-01,1.312758475542068481e-01,6.118597984313964844e-01,2.879285439848899841e-02,6.665453314781188965e-01,2.726029157638549805e-01,6.537031531333923340e-01,1.282895505428314209e-01
5.864251255989074707e-01,1.726900786161422729e-01,5.853123068809509277e-01,3.437238633632659912e-01,7.671013474464416504e-01,4.781070351600646973e-01,6.403601169586181641e-01,0.000000000000000000e+00,7.068094611167907715e-01,2.947796285152435303e-01,6.224794983863830566e-01,1.578257083892822266e-01,6.403601169586181641e-01,0.000000000000000000e+00,7.237292528152465820e-01,4.365752041339874268e-01,5.261025428771972656e-01,4.418233782052993774e-02,5.447559952735900879e-01,1.312758475542068481e-01,6.118597984313964844e-01,2.879285439848899841e-02,6.665453314781188965e-01,2.726029157638549805e-01,6.537031531333923340e-01,1.282895505428314209e-01,6.403601169586181641e-01,0.000000000000000000e+00
