TOTAL_CASH_CHANGE_1dt_day_1,TOTAL_CASH_CHANGE_1dt_day_2,TOTAL_CASH_CHANGE_1dt_day_3,TOTAL_CASH_CHANGE_1dt_day_4,TOTAL_CASH_CHANGE_1dt_day_5,TOTAL_CASH_CHANGE_1dt_day_6,TOTAL_CASH_CHANGE_1dt_day_7,TOTAL_CASH_CHANGE_1dt_day_8,TOTAL_CASH_CHANGE_1dt_day_9,TOTAL_CASH_CHANGE_1dt_day_10,TOTAL_CASH_CHANGE_1dt_day_11,TOTAL_CASH_CHANGE_1dt_day_12,TOTAL_CASH_CHANGE_1dt_day_13,TOTAL_CASH_CHANGE_1dt_day_14,TOTAL_CASH_OUT_1dt_day_1,TOTAL_CASH_OUT_1dt_day_2,TOTAL_CASH_OUT_1dt_day_3,TOTAL_CASH_OUT_1dt_day_4,TOTAL_CASH_OUT_1dt_day_5,TOTAL_CASH_OUT_1dt_day_6,TOTAL_CASH_OUT_1dt_day_7,TOTAL_CASH_OUT_1dt_day_8,TOTAL_CASH_OUT_1dt_day_9,TOTAL_CASH_OUT_1dt_day_10,TOTAL_CASH_OUT_1dt_day_11,TOTAL_CASH_OUT_1dt_day_12,TOTAL_CASH_OUT_1dt_day_13,TOTAL_CASH_OUT_1dt_day_14
5.554316639900207520e-01,1.549753248691558838e-01,5.805258154869079590e-01,1.522504538297653198e-01,5.933626890182495117e-01,2.249466329813003540e-01,4.900219142436981201e-01,4.385341331362724304e-02,5.628798604011535645e-01,9.767857193946838379e-02,6.310229897499084473e-01,2.727149724960327148e-01,5.919468998908996582e-01,1.949054151773452759e-01,6.098554730415344238e-01,2.330988645553588867e-01,5.138946175575256348e-01,8.399163186550140381e-02,5.443188548088073730e-01,6.121276319026947021e-02,6.041600108146667480e-01,2.427930831909179688e-01,5.520387887954711914e-01,5.123303085565567017e-02,5.841996073722839355e-01,8.621697872877120972e-02,6.055752038955688477e-01,1.153348013758659363e-01
5.805258154869079590e-01,1.522504538297653198e-01,5.933626890182495117e-01,2.249466329813003540e-01,4.900219142436981201e-01,4.385341331362724304e-02,5.628798604011535645e-01,9.767857193946838379e-02,6.310229897499084473e-01,2.727149724960327148e-01,5.919468998908996582e-01,1.949054151773452759e-01,6.098554730415344238e-01,2.330988645553588867e-01,5.138946175575256348e-01,8.399163186550140381e-02,5.443188548088073730e-01,6.121276319026947021e-02,6.041600108146667480e-01,2.427930831909179688e-01,5.520387887954711914e-01,5.123303085565567017e-02,5.841996073722839355e-01,8.621697872877120972e-02,6.055752038955688477e-01,1.153348013758659363e-01,5.741763114929199219e-01,1.090119034051895142e-01
5.933626890182495117e-01,2.249466329813003540e-01,4.900219142436981201e-01,4.385341331362724304e-02,5.628798604011535645e-01,9.767857193946838379e-02,6.310229897499084473e-01,2.727149724960327148e-01,5.919468998908996582e-01,1.949054151773452759e-01,6.098554730415344238e-01,2.330988645553588867e-01,5.138946175575256348e-01,8.399163186550140381e-02,5.443188548088073730e-01,6.121276319026947021e-02,6.041600108146667480e-01,2.427930831909179688e-01,5.520387887954711914e-01,5.123303085565567017e-02,5.841996073722839355e-01,8.621697872877120972e-02,6.055752038955688477e-01,1.153348013758659363e-01,5.741763114929199219e-01,1.090119034051895142e-01,5.876340270042419434e-01,6.879657506942749023e-02
4.900219142436981201e-01,4.385341331362724304e-02,5.628798604011535645e-01,9.767857193946838379e-02,6.310229897499084473e-01,2.727149724960327148e-01,5.919468998908996582e-01,1.949054151773452759e-01,6.098554730415344238e-01,2.330988645553588867e-01,5.138946175575256348e-01,8.399163186550140381e-02,5.443188548088073730e-01,6.121276319026947021e-02,6.041600108146667480e-01,2.427930831909179688e-01,5.520387887954711914e-01,5.123303085565567017e-02,5.841996073722839355e-01,8.621697872877120972e-02,6.055752038955688477e-01,1.153348013758659363e-01,5.741763114929199219e-01,1.090119034051895142e-01,5.876340270042419434e-01,6.879657506942749023e-02,5.956829190254211426e-01,9.188898652791976929e-02
5.628798604011535645e-01,9.767857193946838379e-02,6.310229897499084473e-01,2.727149724960327148e-01,5.919468998908996582e-01,1.949054151773452759e-01,6.098554730415344238e-01,2.330988645553588867e-01,5.138946175575256348e-01,8.399163186550140381e-02,5.443188548088073730e-01,6.121276319026947021e-02,6.041600108146667480e-01,2.427930831909179688e-01,5.520387887954711914e-01,5.123303085565567017e-02,5.841996073722839355e-01,8.621697872877120972e-02,6.055752038955688477e-01,1.153348013758659363e-01,5.741763114929199219e-01,1.090119034051895142e-01,5.876340270042419434e-01,6.879657506942749023e-02,5.956829190254211426e-01,9.188898652791976929e-02,6.033172607421875000e-01,1.145377680659294128e-01
6.310229897499084473e-01,2.727149724960327148e-01,5.919468998908996582e-01,1.949054151773452759e-01,6.098554730415344238e-01,2.330988645553588867e-01,5.138946175575256348e-01,8.399163186550140381e-02,5.443188548088073730e-01,6.121276319026947021e-02,6.041600108146667480e-01,2.427930831909179688e-01,5.520387887954711914e-01,5.123303085565567017e-02,5.841996073722839355e-01,8.621697872877120972e-02,6.055752038955688477e-01,1.153348013758659363e-01,5.741763114929199219e-01,1.090119034051895142e-01,5.876340270042419434e-01,6.879657506942749023e-02,5.956829190254211426e-01,9.188898652791976929e-02,6.033172607421875000e-01,1.145377680659294128e-01,5.882427692413330078e-01,6.408455967903137207e-02
5.919468998908996582e-01,1.949054151773452759e-01,6.098554730415344238e-01,2.330988645553588867e-01,5.138946175575256348e-01,8.399163186550140381e-02,5.443188548088073730e-01,6.121276319026947021e-02,6.041600108146667480e-01,2.427930831909179688e-01,5.520387887954711914e-01,5.123303085565567017e-02,5.841996073722839355e-01,8.621697872877120972e-02,6.055752038955688477e-01,1.153348013758659363e-01,5.741763114929199219e-01,1.090119034051895142e-01,5.876340270042419434e-01,6.879657506942749023e-02,5.956829190254211426e-01,9.188898652791976929e-02,6.033172607421875000e-01,1.145377680659294128e-01,5.882427692413330078e-01,6.408455967903137207e-02,4.753406643867492676e-01,1.042553633451461792e-01
6.098554730415344238e-01,2.330988645553588867e-01,5.138946175575256348e-01,8.399163186550140381e-02,5.443188548088073730e-01,6.121276319026947021e-02,6.041600108146667480e-01,2.427930831909179688e-01,5.520387887954711914e-01,5.123303085565567017e-02,5.841996073722839355e-01,8.621697872877120972e-02,6.055752038955688477e-01,1.153348013758659363e-01,5.741763114929199219e-01,1.090119034051895142e-01,5.876340270042419434e-01,6.879657506942749023e-02,5.956829190254211426e-01,9.188898652791976929e-02,6.033172607421875000e-01,1.145377680659294128e-01,5.882427692413330078e-01,6.408455967903137207e-02,4.753406643867492676e-01,1.042553633451461792e-01,5.960382819175720215e-01,1.113467440009117126e-01
5.138946175575256348e-01,8.399163186550140381e-02,5.443188548088073730e-01,6.121276319026947021e-02,6.041600108146667480e-01,2.427930831909179688e-01,5.520387887954711914e-01,5.123303085565567017e-02,5.841996073722839355e-01,8.621697872877120972e-02,6.055752038955688477e-01,1.153348013758659363e-01,5.741763114929199219e-01,1.090119034051895142e-01,5.876340270042419434e-01,6.879657506942749023e-02,5.956829190254211426e-01,9.188898652791976929e-02,6.033172607421875000e-01,1.145377680659294128e-01,5.882427692413330078e-01,6.408455967903137207e-02,4.753406643867492676e-01,1.042553633451461792e-01,5.960382819175720215e-01,1.113467440009117126e-01,5.827224254608154297e-01,8.841284364461898804e-02
5.443188548088073730e-01,6.121276319026947021e-02,6.041600108146667480e-01,2.427930831909179688e-01,5.520387887954711914e-01,5.123303085565567017e-02,5.841996073722839355e-01,8.621697872877120972e-02,6.055752038955688477e-01,1.153348013758659363e-01,5.741763114929199219e-01,1.090119034051895142e-01,5.876340270042419434e-01,6.879657506942749023e-02,5.956829190254211426e-01,9.188898652791976929e-02,6.033172607421875000e-01,1.145377680659294128e-01,5.882427692413330078e-01,6.408455967903137207e-02,4.753406643867492676e-01,1.042553633451461792e-01,5.960382819175720215e-01,1.113467440009117126e-01,5.827224254608154297e-01,8.841284364461898804e-02,5.996038317680358887e-01,1.452221870422363281e-01
