framework,branch,target,regular,covid19,entrie
LSTM,A1,CO,0.1953998179753587,0.1478835359819969,0.1168902999507289
LSTM,A2,CO,0.1900521276830606,0.1604144352957943,0.1444027110027093
LSTM,A3,CO,0.1435643536693388,0.1324472102120005,0.1188632754215827
LSTM,A4,CO,0.1360911610726072,0.1272031376338118,0.1406527597790586
LSTM,B1,CO,0.1422410992320785,0.1208598122961792,0.1220559073531711
LSTM,B2,CO,0.1416670746364983,0.1236793144359724,0.1157622450701863
LSTM,C1,CO,0.1710008260005666,0.1590585247491105,0.1615433808622291
LSTM,C2,CO,0.2189388651923702,0.1912792329325067,0.2209578959399973
LSTM,C3,CO,0.1286012842351342,0.1174231702640487,0.0991268344212729
LSTM,C4,CO,0.1320524415948689,0.1399828102210857,0.1491858665822762
LSTM,A1,COCI,0.0994334677847351,0.0663800082528586,0.0474096076572458
LSTM,A2,COCI,0.1225394807783484,0.0951541805198893,0.0886621730386988
LSTM,A3,COCI,0.1519104529923315,0.135813618808532,0.0982636966631364
LSTM,A4,COCI,0.116660662390829,0.0904123001190564,0.0800130800920002
LSTM,B1,COCI,0.0549063581989125,0.0709567424013331,0.0657781920379194
LSTM,B2,COCI,0.0919116651836024,0.0902320153476946,0.091399096958968
LSTM,C1,COCI,0.1460949744718919,0.1486629543244096,0.1465167645567426
LSTM,C2,COCI,0.1254384205242226,0.0983693551158053,0.0766167700143406
LSTM,C3,COCI,0.0782352861168896,0.0624208582543461,0.0516839422440962
LSTM,C4,COCI,0.1137609151107055,0.1208735085948134,0.1216644138222593
RRR,A1,CO,0.173032004926847,0.1253752787047305,0.0971860954584817
RRR,A2,CO,0.168367378058214,0.1341969733216909,0.1130381618129599
RRR,A3,CO,0.1284941022214167,0.1110707668654036,0.1082938978474909
RRR,A4,CO,0.127794039650372,0.1015299695125593,0.1225991414622457
RRR,B1,CO,0.135153842277772,0.1071251626503038,0.0959851555687391
RRR,B2,CO,0.1275916471027169,0.1043102068131546,0.1086605076910455
RRR,C1,CO,0.1647272818314588,0.1333787471169004,0.1390416153285724
RRR,C2,CO,0.1740547334425331,0.1693136732284944,0.0744970007914538
RRR,C3,CO,0.1238197786636158,0.1013088083271231,0.0947887640429771
RRR,C4,CO,0.1254723279943528,0.1279312106831523,0.1130773080935036
RRR,A1,COCI,0.1035897832339664,0.0610327579718186,0.0399337308635769
RRR,A2,COCI,0.1008000783085045,0.0804629177088687,0.0768773840842952
RRR,A3,COCI,0.1351497806004924,0.1054770788513504,0.0799220173569626
RRR,A4,COCI,0.1032754489755628,0.0675414163015637,0.0657970812210361
RRR,B1,COCI,0.048068334700819,0.0669364925215605,0.0291666509537545
RRR,B2,COCI,0.089832825062719,0.0833657090965232,0.0797267071943833
RRR,C1,COCI,0.1326125182831956,0.1151573910831194,0.1256083695077888
RRR,C2,COCI,0.0995710917486851,0.073541770356056,0.0214231022884103
RRR,C3,COCI,0.0710483699471263,0.0499072924812793,0.0455608799907483
RRR,C4,COCI,0.103767780606639,0.1003965677900713,0.0982567208464742
